# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
8/7k/5N2/8/6pP/8/4K3/8 b - h3 0 1|0|0|0|0
8/4k3/4P3/8/5K2/5R2/8/8 b - - 0 1|-2|1|-2|2
8/3K4/8/3Pp3/8/8/7k/8 w - e6 0 1|2|2|1|2
8/k7/2K5/8/3b3b/8/2n5/8 b - - 0 1|2|1|15|1
8/3k4/1n6/8/5K2/6n1/8/8 b - - 0 1|0|1|0|1
7N/8/8/4P2k/3K4/8/8/8 w - - 0 1|2|1|1|2
8/7P/8/1k2K3/1N6/4P3/8/8 w - - 0 1|2|1|1|2
4K3/8/8/5n2/3R4/8/2N2k2/8 w - - 0 1|2|1|3|1
8/6k1/bK6/3r4/8/8/8/8 w - - 0 1|-2|1|-14|1
5K2/8/1b6/1k6/p7/p7/8/8 b - - 0 1|2|1|1|2
6n1/8/K7/8/k7/8/8/8 w - - 0 1|0|1|0|1
8/3K4/8/3P4/8/8/p7/2k5 w - - 0 1|-2|1|-1|1
K7/8/8/5pP1/8/8/N7/3k4 w - f6 0 1|2|2|1|2
3N4/8/2R5/8/3k4/3P4/5K2/8 b - - 0 1|-2|1|-2|2
5k2/8/7K/pP6/8/8/8/8 w - a6 0 1|2|2|1|2
1N1Kb2k/8/1N6/8/8/8/8/8 b - - 0 1|0|1|0|1
8/8/8/k2p2q1/5K2/1r6/8/8 w - - 0 1|-2|2|-1|2
8/4n3/8/8/1P6/8/4p1k1/K7 b - - 0 1|2|1|1|2
5K2/8/8/8/6pP/2k2Q2/8/8 b - h3 0 1|2|2|1|2
8/8/8/N7/3k4/7P/3B4/7K w - - 0 1|2|1|1|2
8/8/8/7b/6k1/8/1P2K3/8 w - - 0 1|0|1|0|1
K7/8/8/1p6/7P/8/5k2/8 b - - 0 1|0|1|0|1
7Q/8/8/5pP1/8/K3k3/8/8 w - f6 0 1|2|2|1|2
8/8/8/7P/1p6/8/4k3/K7 w - - 0 1|2|1|1|2
5n2/4k3/8/8/8/3P4/7P/1K6 w - - 0 1|0|1|0|1
5B2/8/8/8/5P2/5R2/8/5K1k w - - 0 1|2|1|1|2
8/8/K7/8/8/kr6/8/8 w - - 0 1|-2|1|-12|1
8/7k/8/8/8/8/8/n2K4 w - - 0 1|0|1|0|1
7K/5N2/1k6/8/8/8/7p/8 w - - 0 1|-2|1|-2|2
8/8/8/4kB2/8/1p1K4/3P4/8 b - - 0 1|0|1|0|1
3K4/2R5/B2B4/4k3/8/8/8/8 b - - 0 1|-2|1|-6|1
8/5R2/7K/8/7n/7k/2b5/8 b - - 0 1|0|1|0|1
7n/1K6/8/1p6/8/kn6/8/8 w - - 0 1|-2|1|-2|2
8/8/3k4/4n1q1/8/K7/8/8 b - - 0 1|2|1|7|1
8/1b3p2/8/8/8/3Kp3/6k1/8 w - - 0 1|-2|1|-2|2
8/8/8/8/2K5/1n6/8/2k5 w - - 0 1|0|1|0|1
8/8/5k2/8/2P5/8/K7/6QR w - - 0 1|2|1|1|2
8/8/8/p5k1/8/4N3/1p6/1K6 b - - 0 1|0|1|0|1
8/8/6K1/8/8/8/8/N6k w - - 0 1|0|1|0|1
8/5R2/8/3bk1q1/8/5K2/8/8 w - - 0 1|-2|1|-2|2
8/8/2p5/1K5b/8/2k5/1p6/8 w - - 0 1|-2|1|-2|2
8/8/8/p7/K3k3/8/8/4n3 w - - 0 1|0|1|0|1
8/8/7K/8/4k1B1/4P3/8/8 w - - 0 1|0|1|0|1
8/8/8/8/K7/2k3q1/8/8 b - - 0 1|2|1|3|1
8/8/5K2/8/1Pp5/8/2k5/8 b - b3 0 1|2|2|1|2
8/8/2B1k3/4R3/K7/8/8/8 b - - 0 1|0|1|0|1
8/7k/2pb4/8/8/8/3K3n/8 w - - 0 1|-2|1|-2|2
8/8/k4P2/7p/3B4/3K4/8/8 w - - 0 1|2|1|1|2
2k3N1/8/8/8/8/4K3/8/8 w - - 0 1|0|1|0|1
8/8/6K1/3k4/7R/8/8/8 w - - 0 1|2|1|21|1
8/2P5/8/8/8/1K6/3k4/Q7 w - - 0 1|2|1|1|2
8/8/6k1/1K6/8/P4p2/6P1/8 b - - 0 1|2|2|1|2
8/4R3/5k2/8/2K5/2rr4/8/8 w - - 0 1|-2|1|-2|2
8/8/8/8/8/6K1/2k5/b7 w - - 0 1|0|1|0|1
8/8/8/8/4P3/3P4/K7/5kN1 w - - 0 1|2|1|1|2
8/2P5/8/5K2/3P4/8/1pk5/8 w - - 0 1|2|1|1|2
8/8/8/4k1N1/8/7K/8/8 b - - 0 1|0|1|0|1
8/3K4/8/8/6k1/p7/1n6/8 w - - 0 1|-2|1|-2|2
4k3/8/7N/7K/8/8/8/5b2 b - - 0 1|0|1|0|1
8/8/8/2k5/8/pR6/5K2/8 w - - 0 1|2|2|1|2
8/8/8/6p1/8/4k1K1/6B1/8 w - - 0 1|0|1|0|1
5K2/8/7k/8/2pP4/8/8/8 b - d3 0 1|2|2|1|2
8/5n2/5b2/8/8/8/1K6/2N1k3 w - - 0 1|0|1|0|1
8/8/8/3Kp2P/8/3k4/8/8 b - - 0 1|0|1|0|1
8/5K1B/4n3/3k4/8/p7/8/8 w - - 0 1|-2|1|-12|2
4k3/8/8/8/5npP/8/K7/8 b - h3 0 1|2|2|1|2
8/3N4/8/k7/2P5/8/8/3K4 b - - 0 1|-2|1|-12|1
8/3k4/4r3/8/8/6K1/8/8 b - - 0 1|2|1|21|1
5K2/3k4/n2r4/8/8/8/8/8 w - - 0 1|-2|1|-12|1
7K/P7/8/8/8/6P1/2k5/8 b - - 0 1|-2|1|-2|2
8/7k/8/1K6/2Pp4/5q2/8/8 b - c3 0 1|2|2|1|2
8/8/8/8/8/2K5/4k3/2B5 w - - 0 1|0|1|0|1
8/3k1n2/8/8/8/6K1/8/8 w - - 0 1|0|1|0|1
4K3/8/8/1k6/8/8/5p2/8 w - - 0 1|-2|1|-2|2
8/6k1/8/8/R7/2K1rr2/8/8 w - - 0 1|-2|1|-18|1
1K6/8/8/8/r7/1n2k1r1/8/8 b - - 0 1|2|1|3|1
6k1/8/3p4/8/7p/Q7/8/7K b - - 0 1|-2|1|-2|2
2Q5/8/4PK2/1P6/8/2k5/8/8 b - - 0 1|-2|1|-2|2
8/8/4b3/6k1/8/8/8/4K3 w - - 0 1|0|1|0|1
8/4p3/8/8/8/2k3r1/8/n2K4 w - - 0 1|-2|1|-2|2
8/8/3K4/4r3/3r4/8/8/3k4 w - - 0 1|-2|1|-6|1
8/8/1rn5/3k4/4p3/8/8/K7 w - - 0 1|-2|1|-2|2
1R6/7k/8/4N3/8/8/1K5R/8 b - - 0 1|-2|1|-2|1
8/2n1P3/8/1Pk1K3/8/8/8/8 b - - 0 1|0|1|0|1
Q7/8/7B/8/8/2K5/5k2/3R4 b - - 0 1|-2|1|-4|1
7B/1k6/1p6/8/8/7p/8/5K2 w - - 0 1|0|1|0|1
7k/6N1/8/8/5K2/8/8/8 b - - 0 1|0|1|0|1
8/4K3/8/1Pp5/8/k7/8/8 w - c6 0 1|2|2|1|2
8/8/8/K2N4/8/2kP4/8/8 b - - 0 1|0|1|0|1
3k4/1r6/8/1P6/1K6/8/8/3B4 b - - 0 1|0|1|0|1
8/P7/8/3k4/8/8/1K6/8 b - - 0 1|-2|1|-2|2
8/p7/8/2pP4/6k1/8/2K5/8 w - c6 0 1|2|2|1|2
4K3/8/8/7P/p7/8/6R1/5k2 b - - 0 1|-2|1|-2|1
5k2/8/2KN4/8/8/8/8/1B6 w - - 0 1|2|1|44|1
3b4/8/8/6p1/8/7k/K7/8 w - - 0 1|-2|1|-2|2
8/5r2/2K5/8/2pp4/8/8/k7 w - - 0 1|-2|1|-2|2
4K3/6r1/8/2p5/7k/7P/8/8 w - - 0 1|-2|1|-2|2
1b6/8/8/8/K2pP3/8/5k2/8 b - e3 0 1|2|2|1|2
8/6b1/6K1/8/8/8/1k6/8 b - - 0 1|0|1|0|1
8/5R2/8/7K/6P1/8/8/6k1 w - - 0 1|2|1|1|2
3N4/8/8/8/8/5K1P/8/6k1 w - - 0 1|2|1|1|2
7n/8/8/2rK4/8/2k5/8/8 w - - 0 1|0|1|0|1
4K3/8/8/8/8/4B3/k1n5/8 w - - 0 1|0|1|0|1
7R/8/4k3/8/8/2K5/8/8 w - - 0 1|2|1|23|1
8/8/8/5pP1/k2n1K2/8/8/8 w - f6 0 1|0|1|0|1
3K4/8/7P/5k2/4p3/5p2/8/8 b - - 0 1|2|1|1|2
6b1/8/8/8/1P4k1/Q7/2K5/8 b - - 0 1|-2|1|-4|2
8/n6k/4K3/8/7p/8/8/8 w - - 0 1|-2|1|-2|2
6K1/1k6/8/4pP2/8/8/1n6/8 w - e6 0 1|2|1|1|2
2R5/3N3p/8/7k/8/8/8/4K3 b - - 0 1|-2|1|-4|1
8/3r2P1/4p1K1/8/8/8/2k5/8 w - - 0 1|2|1|1|2
8/K7/7B/5k2/8/1N5N/8/8 b - - 0 1|-2|1|-18|1
8/8/8/3n1k2/p2K4/8/8/8 b - - 0 1|2|1|1|2
8/1N3P2/8/1q6/4K3/8/8/7k b - - 0 1|2|2|1|2
1K6/8/8/8/1n6/8/2k1B3/1b6 w - - 0 1|0|1|0|1
8/k7/1N6/8/8/5K2/7B/7n b - - 0 1|0|1|0|1
3K4/3p4/k7/8/7R/8/7R/8 w - - 0 1|2|2|1|2
8/1B2K3/8/8/8/k3n3/8/8 b - - 0 1|0|1|0|1
8/k1p4K/8/8/8/8/5b2/8 b - - 0 1|2|1|1|2
8/1B6/8/8/8/1p6/5K2/2k5 b - - 0 1|0|1|0|1
2K5/8/8/8/8/8/5k2/r7 b - - 0 1|2|1|19|1
5K2/8/8/1b1b1k1r/8/8/8/8 w - - 0 1|-2|1|-8|1
3r4/8/1K3k2/8/1P6/8/P7/8 b - - 0 1|2|1|3|1
8/8/8/3R4/5k2/8/K7/8 b - - 0 1|-2|1|-28|1
8/3K4/8/4q3/Pp2k3/8/8/8 b - a3 0 1|2|2|1|2
8/1k6/1n6/3pP3/8/6K1/8/8 w - d6 0 1|0|1|0|1
3r3k/8/8/5pP1/8/8/8/3K4 w - f6 0 1|0|0|0|0
5K2/3N4/8/8/1n3p2/4k3/8/8 b - - 0 1|2|1|3|1
8/4bK2/8/3pP3/8/8/8/5k2 w - d6 0 1|0|1|0|1
8/8/8/2n5/8/8/7b/1K1k4 w - - 0 1|-2|1|-15|1
6R1/8/8/8/3k4/7K/p7/8 b - - 0 1|2|1|1|2
N7/5k2/8/8/8/3K4/2Q5/8 w - - 0 1|2|1|11|1
8/8/5N2/8/8/8/k3K3/8 w - - 0 1|0|1|0|1
8/5k2/8/p7/8/K5p1/8/8 w - - 0 1|-2|1|-2|2
8/1b6/8/8/2KR4/8/2k5/8 b - - 0 1|0|1|0|1
8/8/5P2/2K5/8/1k6/4N1p1/8 w - - 0 1|2|1|1|2
8/1B1k4/8/4p3/8/2r5/5K2/8 w - - 0 1|-2|1|-12|1
3R4/8/8/7K/2r5/8/3p4/6k1 b - - 0 1|2|1|17|1
3k4/8/8/8/8/3K4/5b2/8 b - - 0 1|0|1|0|1
8/8/4k3/2r5/8/4K3/2p5/8 b - - 0 1|2|1|1|2
8/8/8/8/8/5Pk1/8/1K6 w - - 0 1|0|1|0|1
8/8/8/1k6/6pP/8/5K2/8 b - h3 0 1|0|1|0|1
8/3K4/8/8/8/8/p6r/2k5 w - - 0 1|-2|1|-2|2
8/k7/8/2R5/6K1/8/8/3r4 w - - 0 1|0|1|0|1
n7/6K1/8/k7/8/8/8/8 b - - 0 1|0|1|0|1
8/8/8/5K2/8/2P1kP2/2P5/8 w - - 0 1|2|1|1|2
8/4P3/8/8/5K2/3r2P1/8/7k w - - 0 1|2|1|1|2
1k6/3P4/8/2q5/6K1/P7/8/8 w - - 0 1|0|1|0|1
5b2/8/K7/5P2/8/8/2k5/8 b - - 0 1|0|1|0|1
8/7r/6k1/8/8/3n1p2/3K4/8 b - - 0 1|2|1|1|2
8/4q3/3K4/8/k7/7P/8/8 w - - 0 1|2|2|1|2
8/1B6/3P4/3K4/k7/8/8/8 b - - 0 1|-2|1|-2|2
8/8/8/5k2/8/8/8/4K2b b - - 0 1|0|1|0|1
8/4N3/8/8/8/3r4/3k2K1/1B6 w - - 0 1|0|1|0|1
8/K7/2R5/8/5k2/8/8/8 b - - 0 1|-2|1|-30|1
8/8/8/2P5/2p5/1k6/1b6/3K4 w - - 0 1|-2|1|-2|2
8/4K1k1/8/8/8/8/8/2Q5 b - - 0 1|-2|1|-8|1
8/8/8/8/7k/8/4K3/5Q2 b - - 0 1|-2|1|-12|1
8/8/4N3/1R6/5K2/8/7k/1b6 w - - 0 1|2|2|1|2
8/8/6q1/8/2k3Pp/8/8/K7 b - g3 0 1|2|2|1|2
8/8/2R5/3k4/8/2K5/4P3/8 w - - 0 1|2|1|1|2
8/8/8/8/7p/3k4/5K2/8 w - - 0 1|0|1|0|1
nk1K4/8/8/1p3p2/8/8/8/8 w - - 0 1|-2|1|-2|2
8/8/2P5/8/7k/2K5/8/8 w - - 0 1|2|1|1|2
8/8/6kB/5B2/8/8/6K1/8 b - - 0 1|0|1|0|1
8/8/4b3/8/5p2/2pK3k/8/8 w - - 0 1|-2|1|-2|2
8/6K1/2k5/8/8/8/5Q2/8 b - - 0 1|-2|1|-16|1
3k4/8/6K1/8/8/8/8/5N2 b - - 0 1|0|1|0|1
8/P7/8/3K4/8/8/6k1/4Q3 b - - 0 1|-2|1|-2|2
8/8/8/pP3k2/K7/8/8/3q4 w - a6 0 1|0|0|0|0
8/2b5/8/8/2k5/8/1K6/8 w - - 0 1|0|1|0|1
8/4kp2/8/1P6/8/4p3/8/2K5 b - - 0 1|2|1|1|2
8/1K6/8/2k4P/8/6R1/8/8 w - - 0 1|2|1|1|2
1K6/8/8/7p/4k3/3pp3/8/8 b - - 0 1|2|1|1|2
8/7K/8/2k5/6pP/8/8/7R b - h3 0 1|-2|1|-2|2
8/2k3rp/8/8/8/8/3p4/6K1 w - - 0 1|-2|1|-2|2
8/2P5/8/8/7k/1K6/8/8 w - - 0 1|2|1|1|2
8/8/1P6/6B1/3K4/7P/7k/8 w - - 0 1|2|1|1|2
8/8/8/8/4P3/8/3K4/1k6 b - - 0 1|-2|1|-2|2
8/N7/8/1k6/3K3p/6P1/8/8 b - - 0 1|-2|1|-2|2
8/8/P7/8/8/6K1/4k3/8 w - - 0 1|2|1|1|2
r7/8/p3K3/8/4b3/3k4/8/8 w - - 0 1|-2|1|-2|2
8/7Q/k7/7B/8/3n4/8/K7 w - - 0 1|2|2|1|2
3n4/8/1k6/8/8/8/3b4/K7 b - - 0 1|2|1|20|1
8/8/3K4/8/3p1q2/8/k7/8 w - - 0 1|-2|1|-2|2
8/6k1/6q1/8/4r3/8/8/K6n w - - 0 1|-2|1|-4|1
8/3K2Q1/8/8/8/8/5P2/3k4 b - - 0 1|-2|1|-2|2
k7/8/2K5/1N6/8/4R3/8/8 b - - 0 1|-2|1|-2|1
6k1/8/K7/8/N7/8/8/8 b - - 0 1|0|1|0|1
Q7/8/8/2k5/8/p3K3/n7/8 b - - 0 1|-2|1|-10|2
8/2P5/6k1/P7/8/3K4/8/8 w - - 0 1|2|1|1|2
8/P7/8/6k1/Pp6/8/3K4/8 b - a3 0 1|-2|1|-2|2
8/b7/4k3/8/2K5/2r5/8/8 w - - 0 1|0|1|0|1
5k2/8/8/8/1P6/4r1P1/8/3K4 b - - 0 1|2|2|1|2
8/8/8/4b2K/1pP5/8/7k/8 b - c3 0 1|2|2|1|2
8/6K1/8/Bk3p2/6Q1/8/8/8 b - - 0 1|0|1|0|1
6r1/8/6n1/6k1/8/3K4/8/8 b - - 0 1|2|1|15|1
7K/4N3/8/8/8/6k1/8/8 b - - 0 1|0|1|0|1
8/4k3/8/8/8/8/2K2P2/8 b - - 0 1|0|1|0|1
8/2k5/8/8/8/5P2/3K4/8 w - - 0 1|2|1|11|1
8/p3N3/K7/1R3k2/8/8/8/8 b - - 0 1|-2|1|-2|2
8/7k/8/8/7b/5K2/B7/2B5 w - - 0 1|0|1|0|1
8/3P4/8/8/2R5/6Q1/6k1/3K4 b - - 0 1|-2|1|-2|1
8/8/3pk3/7N/8/8/8/1K2n3 w - - 0 1|0|1|0|1
8/5k2/8/5P2/8/3R1P2/8/3K4 b - - 0 1|-2|1|-2|2
8/8/8/P7/8/7k/8/1K6 b - - 0 1|-2|1|-2|2
1q5k/8/8/8/6K1/2p5/8/8 b - - 0 1|2|1|1|2
8/8/8/8/k7/1p6/2b3KP/8 b - - 0 1|2|1|1|2
5R2/1K6/8/8/8/4p3/6k1/8 w - - 0 1|0|1|0|1
8/6k1/8/7R/4p3/8/8/2K2n2 w - - 0 1|0|1|0|1
2K5/2n5/8/8/8/6P1/2R5/1k6 b - - 0 1|0|1|0|1
4k3/8/5B2/Kb6/8/1r6/8/8 b - - 0 1|2|1|17|1
4r1K1/6P1/8/8/8/3N4/k7/8 w - - 0 1|0|1|0|1
8/2n5/8/5R2/1K6/2b5/8/k7 w - - 0 1|2|2|1|2
8/8/8/1p3r2/6K1/6P1/3k4/8 w - - 0 1|-2|1|-2|2
8/5k2/7n/3K4/8/8/6R1/8 b - - 0 1|0|1|0|1
K7/5k2/8/8/Pp6/8/8/8 b - a3 0 1|2|2|1|2
8/1P3R2/8/3K4/8/8/8/2B1k3 b - - 0 1|-2|1|-2|2
2k5/8/8/1N3r2/6K1/8/7Q/8 b - - 0 1|-2|1|-8|2
8/8/8/8/8/5r2/3k4/5K2 w - - 0 1|-2|1|-10|1
8/5n2/8/7R/8/8/8/1k4K1 b - - 0 1|0|1|0|1
8/1K6/6k1/8/2pP4/8/8/8 b - d3 0 1|2|2|1|2
2q3k1/8/7P/6K1/8/8/4Q3/8 w - - 0 1|2|1|17|1
1R6/8/8/8/1k6/6K1/3B4/2r5 b - - 0 1|-2|1|-2|1
6K1/8/3k4/8/8/2b5/8/8 b - - 0 1|0|1|0|1
5k2/8/8/8/6K1/6r1/8/1R4Q1 w - - 0 1|2|2|1|2
2R5/4R3/3k4/8/8/8/8/K7 w - - 0 1|2|1|1|1
5k2/3p4/3p4/8/8/5K2/5q2/8 w - - 0 1|-2|1|-2|2
8/8/8/8/8/P1K2k2/8/8 b - - 0 1|-2|1|-8|2
8/7P/1P6/4k3/8/8/7K/4n3 w - - 0 1|2|1|1|2
8/6r1/8/b1K1P3/8/6k1/8/8 b - - 0 1|2|1|3|1
8/8/5K2/8/7p/4q1k1/8/8 w - - 0 1|-2|1|-2|2
2r5/8/7p/8/2k5/5p1K/8/8 w - - 0 1|-2|1|-2|2
8/2k5/8/8/3Q4/4r3/8/5B1K b - - 0 1|-2|1|-14|2
8/2P5/2K5/3P4/3P4/8/3k4/8 b - - 0 1|-2|1|-2|2
8/p7/8/k7/2q5/8/8/4K3 b - - 0 1|2|1|1|2
2kR4/8/5p2/8/2n5/2K5/8/8 b - - 0 1|0|1|0|1
2K5/4k3/2N5/6pp/8/8/8/8 b - - 0 1|2|1|3|1
8/2P5/K6p/8/2Q5/3k4/8/8 b - - 0 1|-2|1|-2|2
8/8/8/P2b1Q2/3K4/8/k7/8 b - - 0 1|-2|1|-2|2
2R5/8/2k5/8/p7/8/5Q2/5K2 b - - 0 1|-2|1|-4|1
8/8/1k6/6pP/8/1r3K2/8/8 w - g6 0 1|0|0|0|0
8/1k6/8/2b3P1/8/8/1n6/5K2 w - - 0 1|-2|1|-4|1
8/8/8/4p3/1b2K3/5R2/8/1k6 w - - 0 1|2|1|2|1
8/8/2r1Q3/8/5r2/8/1k6/7K w - - 0 1|2|2|1|2
8/5K2/3k4/4B3/8/8/4P3/4R3 b - - 0 1|-2|1|-2|2
8/1K6/8/8/8/8/2n5/k3Q3 b - - 0 1|0|1|0|1
8/4R3/2R5/2q5/8/8/8/K6k w - - 0 1|2|2|1|2
8/8/4n3/1k6/1r6/8/5K1p/8 b - - 0 1|2|1|1|2
K2k4/8/8/8/8/7R/8/2r5 w - - 0 1|0|1|0|1
8/7k/1P1K4/8/8/5R2/8/R7 b - - 0 1|-2|1|-2|2
2k5/8/R7/8/8/6K1/R1B5/8 b - - 0 1|-2|1|-6|1
8/8/3p4/8/1K6/2p5/k7/8 b - - 0 1|2|1|1|2
8/3R4/8/1k6/6KR/2N5/8/8 b - - 0 1|-2|1|-6|1
8/8/1b6/1k6/8/5N2/2K5/8 w - - 0 1|0|1|0|1
8/1k3K2/8/3p4/8/8/1r3p2/8 b - - 0 1|2|1|1|2
8/3B4/8/8/8/5K2/8/3k4 w - - 0 1|0|1|0|1
8/8/8/6K1/4R3/8/2B5/5k2 b - - 0 1|-2|1|-10|1
4n3/8/8/8/k6N/8/8/5K2 b - - 0 1|0|1|0|1
4b3/6k1/8/8/8/8/8/6K1 w - - 0 1|0|1|0|1
8/8/8/1p1K4/8/7n/3k4/8 w - - 0 1|0|1|0|1
8/1N4K1/8/5k2/2q5/3p4/8/8 w - - 0 1|0|1|0|1
3r3R/8/8/8/8/8/2K5/7k b - - 0 1|2|2|1|2
6N1/8/7R/8/1K6/8/4k2N/8 b - - 0 1|-2|1|-12|1
8/8/5K2/2k5/4Bp2/8/8/8 w - - 0 1|0|1|0|1
8/8/N1r5/3k4/1K1p4/8/8/8 b - - 0 1|2|2|1|2
8/8/6N1/2b5/8/6K1/4k3/8 w - - 0 1|0|1|0|1
1k6/8/8/5pP1/8/8/7K/8 w - f6 0 1|2|2|1|2
k7/1p5K/6p1/8/6B1/8/8/8 w - - 0 1|0|1|0|1
8/5kq1/8/5p2/8/K7/1B6/8 w - - 0 1|-2|1|-2|2
8/K7/8/2k5/6Pp/8/8/8 b - g3 0 1|2|2|1|2
8/3k4/8/4Pp2/8/8/8/5K2 w - f6 0 1|0|1|0|1
2k5/7K/8/pP6/8/8/8/8 w - a6 0 1|0|1|0|1
8/2k5/8/pP6/8/8/3P4/3K4 w - a6 0 1|2|2|1|2
2K5/1B6/8/3N3p/8/8/3k4/8 w - - 0 1|2|1|3|1
8/8/1K6/7n/6B1/8/3q1k2/8 b - - 0 1|2|1|3|1
K7/2R5/6N1/8/8/2k5/1r6/8 b - - 0 1|0|1|0|1
8/8/8/3k4/8/5P2/1N6/N4K2 w - - 0 1|2|1|1|2
8/7k/8/4pP2/2K5/6b1/8/8 w - e6 0 1|0|1|0|1
K7/8/8/7P/6k1/P7/8/2N5 b - - 0 1|-2|1|-2|1
8/N7/3k4/K1N5/3B4/8/8/8 w - - 0 1|2|1|5|1
8/4K3/k2p2R1/8/8/2r5/8/8 b - - 0 1|0|1|0|1
8/8/8/2R3R1/8/8/1k2K3/8 w - - 0 1|2|1|5|1
4n3/8/8/8/4K3/7r/8/6k1 b - - 0 1|2|1|17|1
8/8/8/5n2/4K2k/8/5n2/4N3 w - - 0 1|0|1|0|1
8/8/3k4/8/8/1R6/K4P2/8 b - - 0 1|-2|1|-2|2
8/7K/4k3/1P6/8/8/2P5/8 b - - 0 1|-2|1|-2|2
8/1K6/8/8/8/B7/8/6k1 w - - 0 1|0|1|0|1
8/8/8/8/8/1K6/4p3/7k b - - 0 1|2|1|1|2
8/8/8/1k6/8/8/1b6/7K w - - 0 1|0|1|0|1
8/2P5/8/8/8/7K/2k4n/8 b - - 0 1|-2|1|-2|2
8/8/8/1k6/3K2P1/8/4r3/8 w - - 0 1|-2|1|-4|1
r2K4/8/8/8/8/8/1k1r4/7n w - - 0 1|-2|1|-6|1
5K2/7k/R1R5/8/2p5/8/8/8 b - - 0 1|-2|1|-2|2
8/8/8/k1pP4/8/4p3/7K/8 w - c6 0 1|0|1|0|1
8/2p5/1K6/4k3/8/7N/8/8 w - - 0 1|0|1|0|1
8/8/1K6/2b5/8/7k/8/4n3 w - - 0 1|0|1|0|1
b7/6p1/6K1/k1P5/8/8/8/8 b - - 0 1|0|1|0|1
8/3PR3/2K5/8/8/8/8/2k5 w - - 0 1|2|1|1|2
2k5/p7/8/8/8/8/2n1K3/8 b - - 0 1|2|1|1|2
4N3/5n2/k7/8/7K/8/8/8 w - - 0 1|0|1|0|1
4B3/8/8/2k5/8/4K3/6p1/8 w - - 0 1|0|1|0|1
6B1/8/8/1k6/8/6K1/8/8 b - - 0 1|0|1|0|1
8/8/4k3/1q6/3Kp3/8/3N4/8 b - - 0 1|2|1|1|2
8/4K3/6r1/6p1/8/8/2k5/8 w - - 0 1|-2|1|-2|2
3k4/8/K7/8/8/6p1/8/8 b - - 0 1|2|1|1|2
3k4/8/8/8/2n5/2nP4/8/6K1 b - - 0 1|2|1|38|1
3k4/3B4/8/8/8/K7/8/8 b - - 0 1|0|1|0|1
8/5P2/8/p5k1/8/4r3/3K4/8 w - - 0 1|2|2|1|2
8/8/8/7b/6nK/8/8/5kB1 b - - 0 1|0|1|0|1
8/3P4/K7/8/8/4R3/7k/8 b - - 0 1|-2|1|-2|2
2b5/6k1/3N4/3K4/7R/8/8/8 b - - 0 1|-2|1|-16|2
8/8/8/8/7N/6N1/4KRk1/8 b - - 0 1|-2|1|-2|1
8/8/8/3p4/R3K3/8/3k4/6b1 w - - 0 1|0|1|0|1
5k2/8/8/7K/8/3P4/6n1/4R3 b - - 0 1|0|1|0|1
8/5r2/8/8/b1K4p/8/6k1/8 w - - 0 1|-2|1|-2|2
4K3/k3N3/8/8/8/p1n5/8/8 w - - 0 1|-2|1|-6|2
3k4/8/8/8/5K2/r7/8/8 w - - 0 1|-2|1|-28|1
4k2N/8/8/8/7K/n5q1/8/8 w - - 0 1|0|1|0|1
4K3/8/5k2/1pp5/8/8/8/8 w - - 0 1|-2|1|-2|2
6k1/7R/8/3K4/8/8/4r3/8 w - - 0 1|0|1|0|1
8/8/8/k7/p7/8/8/1N3K2 b - - 0 1|0|1|0|1
8/4K3/6pP/3P4/8/8/1k6/8 b - - 0 1|-2|1|-2|2
8/8/1p6/3R2k1/2K5/8/2p5/8 b - - 0 1|2|1|4|1
3N4/5k1p/8/8/2K5/8/7B/8 b - - 0 1|-2|1|-16|1
8/8/8/2p5/p2k4/3n4/8/K7 b - - 0 1|2|1|1|2
8/4Q3/4k3/8/8/8/8/K4N2 b - - 0 1|0|1|0|1
8/8/n7/6Rq/8/8/8/k3K3 b - - 0 1|2|2|1|2
8/B6k/8/8/8/8/1B6/K7 w - - 0 1|0|1|0|1
6K1/8/8/3k4/8/R2p4/8/8 b - - 0 1|0|1|0|1
8/5q2/8/3r4/4k3/8/8/1K6 w - - 0 1|-2|1|-4|1
4K3/8/8/8/8/4R3/4R3/4k3 b - - 0 1|-2|1|-2|1
8/5p2/5K1k/8/8/6R1/8/2n5 b - - 0 1|-2|1|-19|1
8/8/K7/7b/8/5P2/P7/k7 w - - 0 1|0|1|0|1
8/1kP5/6K1/8/7P/8/8/8 w - - 0 1|2|1|1|2
8/7K/8/n7/8/3p4/3r1k2/8 w - - 0 1|-2|1|-4|1
8/8/8/K2P4/7q/3k4/8/8 b - - 0 1|2|1|3|1
1b6/8/2k5/8/4K3/7P/3N4/8 w - - 0 1|0|1|0|1
1k6/p7/8/8/6K1/2p5/7r/8 b - - 0 1|2|1|1|2
2q5/6K1/3N4/8/7n/8/3k4/8 w - - 0 1|0|1|0|1
6R1/3R4/3r4/3K4/8/4k3/8/8 w - - 0 1|2|2|1|2
8/2K5/b7/8/8/8/1rk5/8 b - - 0 1|2|1|15|1
b7/6k1/8/3P4/4K3/2R5/8/8 b - - 0 1|-2|1|-6|1
8/1K6/8/8/8/7p/P7/2k5 b - - 0 1|2|1|1|2
R7/8/8/7k/8/8/8/b2K4 w - - 0 1|2|2|1|2
6B1/k2R4/8/8/5K2/8/Q7/8 b - - 0 1|-2|1|-4|1
