# fen|stockfish 15.1 nnue value|adjusted value, side to move; net nn-ad9b42354671, generated by tools/nnue_reference.py
rn1qkb1r/pbpp1p1p/1p2p2B/6p1/2PPn1P1/5N2/PP2PP1P/RN1QKB1R w KQkq - 1 3|-284|-289
rn1qk2r/pb1pbp1p/1p2p2B/2p3p1/P1PP2P1/2n1KN2/1P2PP1P/RN1Q1B1R w kq - 0 6|-505|-510
r2qk2r/pb1pb1Bp/1pn1p3/2p2pp1/PQPP2P1/1P2KN2/4PP1P/Rn3B1R b kq - 1 9|1917|1925
r2q3r/pb1p1k1p/2nbp3/1ppPBpp1/PQPN2P1/1P2K3/4PP1P/Rn3B1R b - - 1 12|1788|1795
2rq3r/p2pbk1p/b2PpB2/1pp1npp1/PQPN2PP/1P2K3/4PP2/Rn3B1R w - - 1 16|-827|-815
2rq3r/pb1p1k1p/3bpB2/2p1nppP/pQPN2P1/RP2K2R/4PPB1/1n6 b - - 1 19|2391|2394
2r2q1r/p2pbk1p/R3pB1P/2p1npp1/2PN2P1/Qp2K2R/4PPb1/1n6 w - - 1 23|-1528|-1471
1nr4r/p2pbkqp/4p2P/2Q2Pp1/R1PN4/1p2K2R/4PPb1/1n6 b - - 0 26|2244|2191
1nrbr3/p2pk1qp/4p2P/2RQ1Pp1/2PN4/1p2K2R/4PPb1/1n6 w - - 7 30|-726|-643
rnbqkb1r/p1pppppp/1p5n/8/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3|268|274
rnbqk2r/p1ppppbp/6pn/1p6/PP1P4/2P1P3/3N1PPP/R1BQKBNR b KQkq - 0 6|-364|-370
rnbq3r/p1pp1kbp/4pppn/1p6/PP1P4/2P1P3/5PPP/RNBQKBNR b KQ - 3 9|-295|-300
rnbq3r/p1pp1k1p/3bp1pn/1p3p2/PP1PP3/2P5/4KPPP/RNBQ1BNR b - - 0 12|-10|-17
r1b2q1r/p1pp1k1p/n2b2pn/1p3p2/PP1QP3/2P1K1P1/5P1P/RNB2BNR w - - 1 16|80|83
r1b1kqr1/p1ppb2p/n5pn/1p3Q2/PP2PP2/2P1K1P1/7P/RNB2BNR b - - 0 19|708|727
r1bk1qr1/p2p3p/n1p2bpn/6Q1/pP2PP2/2P3P1/3NK2P/R1B2BNR w - - 4 23|224|230
r1bk4/p2pq1rp/n1p2bpn/1B4Q1/p3PP2/2P2KP1/1B1N3P/1R4NR b - - 3 26|651|660
r3k3/pb1pqr1p/2p2bQn/1B6/pn2PP2/2P2KP1/1B1N3P/R5NR w - - 1 30|-324|-334
r3k3/pb2qrQp/2p4n/3p4/pn2PP2/2BB1KP1/3b3P/2R3NR b - - 1 33|1395|1393
r3kr2/pb2q3/2p2n1p/3pQ3/pn2PP2/2BB2P1/3bK2P/2R3NR w - - 4 37|-818|-797
4kr2/pb1r1q2/2p2n1p/3p3Q/pn1BPP2/3B2P1/3bK2P/2R3NR w - - 10 40|-829|-807
4k1r1/pb1r1q2/B1p4p/3p3n/p2BPP1P/6P1/2RbK3/6NR w - - 2 43|-1741|-1664
6r1/pb1rkqn1/BBR4p/3p4/p3Pb1P/6P1/4K2R/6N1 w - - 4 46|-722|-626
5qr1/pbbrk1n1/BB5R/3p3p/p3P2P/6PN/5R2/5K2 b - - 5 49|2002|1944
6r1/pbBrk1n1/B6R/3p2Np/p3q1PP/8/5R2/5K2 b - - 0 52|1170|1115
6r1/pb4n1/B2r1kqR/3p2Bp/p5PP/5N2/5R2/5K2 b - - 6 55|-636|-730
rnb1kb1r/ppp1pp1p/5n2/6pq/3P4/2N5/PPP1BPPP/R1B1K1NR w KQkq - 0 3|-1096|-1006
rnb1kb1r/ppp1pp2/5n1p/6p1/1P1Pq3/2N2N2/P1P1BPPP/R1BK1R2 b kq - 0 6|2462|2410
rnb1kb1r/pp2pp1q/2p4p/1B4p1/1P1Pn3/2N2N2/P1PB1PPP/R3KR2 b kq - 1 9|3160|3125
r3k2r/Pppp1ppp/1b3nbN/nP6/BBPNPR2/8/Pp1P2PP/Rq1Q2K1 w kq - 4 3|220|214
r3k1r1/Pppp1ppp/6b1/nPb2N2/BBPNn3/8/Pp1P2PP/1R1Q1RK1 b q - 3 6|-3262|-3214
r3k1r1/Pp1pNpp1/2p3b1/nP5p/BbP5/1Nn5/Pp1PQ1PP/1R3RK1 w q - 2 10|1185|1142
r3k1r1/Pp1pbpp1/2p3b1/nn5p/B1PP4/8/Pp4PP/1RNQ1RK1 w q - 0 13|-343|-375
r3k1r1/Ppnpbpp1/2p5/n6p/2PP2P1/8/PpB2R1P/1bNQ2K1 b q - 1 15|635|623
r2bk1r1/Ppnp2p1/2p2pB1/n6p/P1PP2P1/8/6RP/1bnQ2K1 b q - 1 18|649|598
r2b1kr1/Ppn3p1/5pb1/n1pp3p/P1PPQ1P1/8/5R1P/2n3K1 w - - 0 22|-1367|-1297
r2b2r1/P1n1k1p1/5pbQ/nppp3p/P1PP2P1/8/4n2P/5R1K b - - 3 25|1703|1637
r2b2rQ/P1n1k1p1/5pb1/1pP4p/P1np2P1/8/4n2P/4R2K w - - 0 29|-1167|-1086
2rbn1rQ/P5p1/4kpb1/PpP4p/2np2P1/8/4n1KP/2R5 b - - 0 32|1944|1877
N1rbn1rQ/6p1/5p2/PpPk1b1p/2np2P1/6nK/7P/2R5 w - - 3 35|-1347|-1272
N2bn1r1/6Q1/2r2p2/PpPk3P/3pb3/6K1/1nR4P/8 b - - 2 38|1332|1311
N2bn1r1/6Q1/P1r2p2/2Pk3P/1p1p4/7K/1nR4P/7b w - - 2 42|-314|-272
N2b2r1/P1n5/2r2pQ1/2Pk3P/1p1p2b1/7K/1R5P/8 w - - 3 45|-180|-169
N2b2r1/P1n3Q1/3r4/2k2p1P/1p1p2K1/8/4R2P/8 w - - 0 48|308|291
R5r1/6Q1/1N2r3/2kn1pbP/1p1p4/7K/4R2P/8 w - - 1 51|1244|1212
r1N5/R5Q1/4r2b/2kn3P/1p1p1p2/7K/7P/8 b - - 3 54|459|476
2r5/8/7b/2kn3P/1p1p1p2/5R1K/7P/1r4Q1 b - - 5 57|1322|1315
5b1r/8/8/7P/1pkp1p2/2n4K/7P/Rr4Q1 w - - 12 61|-898|-875
5b1r/R7/8/7P/1pk5/3p1p1K/n6P/1r2Q3 w - - 2 64|-206|-169
7r/4R1b1/8/7P/1k6/1p1p1p1K/3Q3P/8 b - - 3 67|-1327|-1301
rnbqkb1r/pppp1ppp/4pn2/8/P1P5/8/1P1PPPPP/RNBQKBNR w KQkq - 1 3|-26|-23
r1b1kbnr/pppp1ppp/2n1p3/8/P1PP3q/RQ6/1P2PPPP/1NB1KBNR w Kkq - 5 6|36|40
r1b1kbnr/ppp1Bpp1/2np4/1Q2p2p/P1PP3q/R7/1P2PPPP/1N2KBNR w Kkq - 0 9|-332|-334
r3kb1r/pQp1npp1/2np4/4p2p/P1PP1qbP/7R/1P2PPP1/1N2KBNR b Kkq - 1 12|2006|2014
r3kb1r/p1p3p1/2np4/5pqp/P1Pp2bP/6R1/1P1NPPP1/4KBNR w Kkq - 0 16|-962|-871
r3kb2/p1p3p1/2np2Rr/5p1p/P1Pp1q1P/1P3N1b/3NPPPR/4KB2 b q - 4 19|2112|2051
r3kb2/p1p3p1/2n4r/3p1p1p/PPPpN2P/5q1b/4PPPR/3K1B2 w q - 2 23|-2839|-2708
r2k4/p1p1b1p1/2n2N1r/3p3p/PPPp1p1P/5q1P/4PP1R/2K2B2 w - - 2 26|-1964|-1843
2rk4/p1p3p1/2n1r3/3p2bp/PPPp1p1P/4PqNP/1K3P1R/5B2 b - - 0 29|3049|2950
1nrk4/p1p3p1/3r4/5Nbp/PPpp1p1P/4Pq1P/1K3P1R/5B2 b - - 1 32|2814|2706
1nrk4/p1p3p1/3r1b2/7p/PPpN1p1P/3pP2P/4Bq1R/K7 w - - 0 36|-4059|-3970
1nrk4/p5p1/2pr4/7p/PPpb3P/3pPp1P/K4R2/3B4 w - - 0 39|-1869|-1802
1nr5/p4kp1/2p2r2/7p/PPpP3P/3pR2P/K7/3B4 w - - 3 42|-1771|-1757
1n1r4/4R1p1/p1p2rk1/7p/PPpP3P/3p3P/K7/3B4 b - - 3 45|2304|2305
1n1r4/6R1/p1p5/5k1p/PPpP1r1P/K2p3P/8/3B4 w - - 1 48|-1322|-1302
1n6/6R1/p1pr4/5k1B/PP1P3P/2pp3P/5r2/2K5 w - - 1 51|-1048|-1024
rnbqkb1r/pp1ppp1p/6p1/1B1nP3/3p4/2P2N2/PP3PPP/RNBQK2R b KQkq - 1 2|45|35
rnb1kb1r/pp1p3p/1q2p1p1/3nPp2/2Bp4/2P2N2/PP3PPP/RNBQK2R w KQkq - 2 5|276|295
r1b1kb1r/pp1p3p/2n1p3/2q1Ppp1/Q1Bp4/2P2NP1/PP3P1P/RNB1K2R b KQkq - 3 8|-311|-295
r1b2b1r/pp1pnk1p/4p3/4Ppp1/Q1qP3N/6P1/PP3P1P/RNB1KB1R w KQ - 5 12|395|375
r1b4r/pp1pnkbp/4p3/1Q2Ppp1/3P3N/6PP/PP1K1P2/RNB2q1R b - - 3 14|745|747
r1b2b1r/pp1pnk1p/4p3/4Pp2/1P1P2pN/6PP/P2KQP2/RNB1R3 b - - 0 17|-1638|-1577
1rb2b1r/pp1pn1k1/4p1N1/4Pp1p/1P1P2p1/B5PP/P2K1P2/RN2RQ2 w - - 6 21|2421|2374
1rb2k1r/1p1p4/4p1n1/p3Pp1p/1P1P2P1/B5P1/P3KP2/RN2R1Q1 b - - 3 24|-2067|-2003
1rb5/1p1pk3/4p2r/p3Pp2/1P1P1np1/B5P1/P2K1P2/RN2RQ2 w - - 2 28|2351|2301
1rb5/5k2/1p2p2r/p2pPp2/1P1P1Pp1/B7/P4P2/RN1KRQ2 b - - 1 31|-1647|-1551
1rbk4/8/1p2p3/p2pPp2/1P1P1Pp1/B4r2/P4P2/RN1KR2Q w - - 8 35|2038|1952
r2k4/5Q2/1p2p3/p2pPp2/1P1PRPp1/B1N2r2/P4P2/R2K1b2 b - - 15 38|-601|-470
r4Q2/3k4/1p2p3/3pPp2/1p1PRPp1/B1Nr4/P1K2P2/R4b2 w - - 2 41|844|734
rQ6/3k4/4p3/1p1pPp2/3PRPp1/p7/P4P2/1N1KRb2 b - - 1 44|-730|-593
r3k3/8/4p3/1p1pPp2/3PRPp1/p2b4/P2N1P2/3KR3 w - - 2 47|391|359
1r2k2R/8/4p3/Np1pPp2/3PRPp1/p7/P4P2/3K1b2 b - - 9 50|-607|-571
2kr3R/8/4p3/Np1pPp2/3P1Pp1/pR6/P4P2/3K1b2 w - - 14 53|1489|1478
3rR3/3k4/4p3/N2pPp2/1pbP1Pp1/pR3P2/P2K4/8 w - - 0 56|286|254
4r3/1N1k4/4R3/3pPp2/1R1P1P2/p4p2/P2K4/5b2 w - - 1 59|1564|1552
2k5/1N6/4r1R1/3pPp2/3P1P2/p4p2/PR1Kb3/8 w - - 7 62|1478|1468
2k5/8/3r2R1/2NpPp2/3P1P2/p7/PR1Kbp2/8 b - - 1 64|224|276
qnnbbrkr/1p2ppp1/2pp4/p6p/NP3P1P/3P4/P1P1P1P1/Q1NBBRKR b KQkq - 0 10|67|70
qnnbb1kr/1p2p1p1/5r2/pPpp1p1p/5P1P/2BP4/PNP1P1P1/Q1NB1RKR w KQk - 2 14|88|89
qnn1brkr/1p4p1/1b2pB2/pPpp1p1p/4PP1P/3P2P1/PNP2K2/Q1NB1R1R b k - 1 17|530|540
q1n1brk1/1p6/1b2pp1r/pPpp1p1p/2NnPP1P/3P2PR/P1P2K2/Q1NBR3 w - - 0 21|-964|-941
1q2brkr/1p2n3/1b2pp2/pPpp1p1p/2PnPP1P/NB1P2P1/P4K1R/Q1N1R3 b - - 4 24|1800|1791
1qn1r1kr/1p1b4/1b2pp2/p1pP1p1p/B2nPP1P/N2P2P1/P4K1R/1QN1R3 w - - 3 28|-944|-918
2n1rk1r/1p1b4/1b2Pp2/p1p2p1p/3nPq1P/N2P2P1/P1B2R2/1QN1R1K1 b - - 3 31|756|732
4rk1r/np1b4/1b2Pp2/p1p2p1p/4P2P/N2P2P1/P1B1n1K1/1QN1R3 b - - 2 34|-521|-513
6k1/np1br3/1b2Pp1r/p1p2p1p/4P2P/N2P2P1/P1B1n3/1QN1RK2 b - - 8 37|-356|-351
3b4/np2r1k1/2b1Pp1r/p1p2p1p/B3P1PP/N2P4/P1Q1n3/2N1RK2 b - - 4 40|-312|-306
3b4/np4k1/2b1Pp1r/pNp2p1P/B2rP2P/1Q1P4/P7/2N1RKn1 w - - 5 44|971|963
3b3r/np2P3/5pkP/pNp2p2/B2rb2P/2QP4/P7/2N1RKn1 w - - 1 47|1132|1132
3N3r/np6/4BpkP/pNQ1rp2/7P/3P4/P7/2N1RKnb b - - 4 50|-919|-848
2nr4/1p6/2Q1rpkP/p4p2/7P/2NP4/P5K1/2N1R1n1 w - - 0 54|1256|1227
r1bqkb1r/ppp2p1p/2n2n2/4N1p1/2Pp4/2N3P1/PP1PPPBP/R1BQK2R w KQkq - 0 3|321|315
r1bqkb1r/1pp2N1p/p4n2/2P3p1/1n5P/2Np2P1/PP1PPPB1/R1BQ1K1R b kq - 0 6|-262|-249
r1b1k2r/1pq4p/p1pb1n2/2P3p1/1n5P/2Np1PP1/PP1PP1B1/R1BQ1K1R w kq - 0 9|-539|-531
r3k2r/1p5p/pqpb4/2P3pn/1n4bP/1PNp1PPR/P2PPKB1/R1BQ4 b kq - 4 12|1001|1005
7r/1p3k1p/pqpbr3/2P3pn/1n4bP/BPNP1PPR/P2P1KB1/R6Q b - - 2 15|729|733
7r/1p2k2p/pPpb4/1N2r1p1/1n4bP/BP1P1PnR/P2P1KB1/5R1Q b - - 2 18|-85|2
4k2r/1p5p/pPpb4/1N2r3/1n4bp/BP1P1PnR/P2P1KBQ/3R4 w - - 2 22|895|831
4k2r/1p5p/pP1b4/1Np5/4BPbp/BP1nK1nR/P2P3Q/3R4 b - - 1 25|-528|-410
3k3r/1pNb3p/pP1b4/2p5/1n2BP1p/BP3K1R/P2P3Q/5n1R w - - 8 29|1668|1577
2bkN2r/1p5p/pP1b4/2p5/4BP1p/BP3K1R/P1nP3Q/5n1R w - - 14 32|1489|1394
1nbbnrkr/p1p1ppp1/3pq3/1p3P1p/3P3P/7R/PPPNP1P1/Q1BBNRK1 b Qkq - 3 10|-163|-166
2bbnrkr/p2nppp1/2pp3q/1p3P1p/3P3P/4R3/PPPNPKP1/Q1BBNR2 b kq - 1 13|581|592
2bbnrkr/3nppp1/p1pp4/1p3P1p/3P3P/R4N2/PPPNP1q1/Q1BBKR2 b kq - 1 16|653|654
2bbnrkr/3np1p1/p1pp1p2/2R2P1p/1p1P3q/4PN2/PPPN4/Q1BBKR2 w kq - 0 20|-545|-542
2bbn1kr/5rp1/pnpppp2/2R2P1p/1p1P3N/1P2P3/P1PN1K2/Q1BB1R2 w k - 0 23|2352|2299
r1bbn1k1/6p1/pnpppp1r/2R2P1p/Pp1P3N/1P2PN2/1BP5/Q2BKR2 b - - 4 26|-1322|-1246
r1bb2k1/2n3p1/pnpppp2/5P1p/PpRP3N/1P2PN2/1BP3r1/Q2BKR2 b - - 10 29|-979|-899
r1bb4/2n2k2/pn1pppp1/2P2P1p/PpR5/1P2PNr1/1BPK2N1/Q2B1R2 w - - 2 33|2396|2354
r1bb2k1/8/1n1pppp1/pnP2P1p/PpRNP3/1P3Br1/2PK2N1/Q1B2R2 b - - 2 36|-1166|-1102
3b3k/r7/1n1pNpp1/pnP2p1p/PpR1P3/1P3Br1/2P3N1/Q1B1KR2 w - - 1 40|3673|3629
3b4/6rk/1n1pNpp1/pnP2p1p/PpR1P1r1/1P2QB2/2P2KN1/2B1R3 b - - 8 43|-1896|-1806
8/2b3rk/1n2Npp1/pnp2Q1p/Pp2P1r1/1PR2B2/2P2KN1/2B1R3 w - - 1 47|2372|2296
3b4/6rk/6p1/p1p4p/PpnnP1rQ/1P1R1B2/2P2KN1/2B1R3 b - - 1 50|-694|-613
rn1qkbnr/pp4p1/2p1pp1p/3pPbN1/2BP4/8/PPP2PPP/RNBQK2R w KQkq - 0 3|-112|-119
rn1qk1nr/pp6/2p1pp1p/1B1pbbN1/3P4/5P2/PPP3PP/RNBQK2R b KQkq - 0 6|501|514
rn3qnr/ppk5/2p1pp1p/3pb1N1/3Pb3/5P2/PPP1B1PP/RNBQ1RK1 w - - 7 10|1134|1152
rn1q2nr/ppk4N/2p1pp1p/3p4/3P4/5Pb1/PPPQB1PP/RNB2RK1 b - - 6 13|-735|-706
r2q2nr/1pkn3N/2p1p2p/p2p1p2/3P4/2P2PbP/PPQ1B1P1/RNB2RK1 w - - 0 17|559|532
r4nnr/1pk4N/2p1p2p/p2Q4/3P3q/2P1BPbP/PP2B1P1/RNR3K1 b - - 2 20|-260|-206
r4nn1/2k3Qr/1pp1p2p/p7/3P3q/2P1BP1P/PP2B1PK/RNR5 b - - 1 23|-951|-905
r1bqkr2/pppp1ppp/2n2n2/2b1p3/2B1P3/P1P2N1P/1P1P1PP1/RNBQK2R b KQq - 0 2|-116|-123
1rbqkr2/ppp1bp1p/2n2np1/3pN3/4P3/P1P4P/BP1P1PP1/RNBQK1R1 w Q - 0 6|242|244
2rqkr2/ppp2p1p/2nb1np1/3p1P2/2N5/P1P3PP/BP1P1P2/RNBQ1KR1 b - - 0 9|-1085|-1067
2rqkrn1/ppp2p2/n2b2p1/3pNPQp/8/P1P3PP/BP1P1P2/RNB2KR1 w - - 0 13|1486|1469
rnb1k2r/ppp1bppp/3qpn2/3p4/8/4P1P1/PPPP1PBP/RNBQNRK1 b kq - 0 2|62|62
rnb1k2r/pp1nbp1p/2p1p3/3p2p1/1P5P/4PNq1/P1PP1PB1/RNBQ1RK1 w kq - 0 6|-72|-66
rnb1k2r/p2nbp1p/2p1p3/1p1p2P1/1P1N4/2NPP1q1/P1P2PB1/R1BQ1RK1 b - - 1 9|-221|-218
rnb1k2r/3n1p1p/2p1pb2/pp1p1qP1/1P6/1NNPP3/PBPQ1PB1/R4RK1 w - - 2 13|467|469
rnb1kr2/3n1p1p/2p1pb2/pp1p2P1/1q6/1N1PPB2/P1PQ1P2/2BNRRK1 b - - 1 16|201|206
rn2k2r/3n1p1p/b1p1pb2/pp1pq1P1/PQ6/1N1PP3/2P1BP2/2BNRRK1 w - - 3 20|-200|-204
rn2k2r/3nbp2/b1p1p2p/pP1p2P1/4q1Q1/1N1PPP2/2P1B3/2BNRRK1 w - - 0 23|434|436
rn2kb1r/3n1p2/b1p1p2p/pP1p2P1/4NPQ1/3PP3/2P1B2K/2BNRR2 b - - 0 26|-1316|-1225
rnb1kbnr/5p2/2p1p2p/pP1p2P1/3PPPQ1/6N1/2P1B2K/2BNRR2 b - - 0 29|-1801|-1717
rn1k1bnr/1b4N1/4pp1p/pPpP2P1/3P1PQ1/8/2P1B2K/2BNRR2 w - - 2 33|3116|3056
1n3bnr/r2k2N1/2b1ppPp/pPpP1Q2/3P1P2/3B4/2P4K/2BNRR2 w - - 3 36|3678|3625
1n3b1r/rbk1n1N1/4RpPp/pPpP4/3P1P2/3BN3/2P3QK/2B2R2 b - - 6 39|-2167|-2066
r1bqkb1r/1ppp1ppp/p4n2/1n2p3/B3P3/N2P1N2/PPP2PPP/R1BQK2R w KQkq - 1 3|246|254
r1bq1b1r/1ppp1ppp/p3kn2/1n2pN2/B3P3/NP1P4/P1P2PPP/R1BQK2R b KQ - 0 5|60|64
r1b2br1/1pp2ppp/p3kn2/1nqppN2/B2PP3/NP6/P1P2PPP/R1BQK2R w KQ - 1 9|264|272
r1b2br1/3k1ppp/pppN1n2/1nqPp3/B2P4/NP2B3/P1PQ1PPP/R3K2R b KQ - 1 12|-200|-188
r1N1kbr1/5pp1/ppp2n2/1n1PP3/B2q3p/NP2BP2/P1PQ2PP/R3K2R w KQ - 1 16|1271|1250
r1N1kbr1/5pp1/ppp5/1B1qP1B1/2N4p/1P3P2/P1PQ1nPP/R3K1R1 b Q - 5 19|-1670|-1632
r1N1kbr1/5pp1/ppp5/1B2P1B1/2N2Q1p/PPq2P2/2P3PP/R2nK1R1 w Q - 3 22|2565|2542
3rkbr1/4Npp1/ppp5/1B2P1B1/2N4p/PPq2P2/1nPQ2PP/R3K1R1 w Q - 7 24|2102|2070
rn2kb1r/pb1pqppp/1pp1pn2/8/2PP4/1P3NP1/P3PP1P/RNBQKBR1 w Qkq - 1 3|91|96
rnb1kb1r/p2p1ppp/1pp2n2/2q1p3/2PP2P1/1P3N2/P2KPP1P/RNBQ1BR1 b kq - 0 6|116|112
rnb1kb1r/p2p1p1p/1pp3p1/4p3/1qPP2nP/1P1K4/P3PP2/RNBQNBR1 w kq - 0 10|-527|-523
rnb1kb2/p2p1p1r/1pp2Np1/2q1p2p/P1PP2nP/1P1K4/4PP2/R1BQNBR1 b q - 2 13|902|905
rnb1k2r/p2p1p2/1ppb2p1/2qNp2p/P1PP2nP/BP1K4/4PP2/2RQNBR1 w - - 9 17|-255|-245
rnb1k3/p2p1pr1/1ppb2p1/2q1p2p/PNPP3P/BP6/2RKPn2/3QNBR1 w - - 2 20|-647|-645
rnb1k3/p1bp1pr1/1pp3p1/3Pp2p/PNP3RP/1P2P3/1BRK1n2/3QNB1q b - - 0 23|634|634
rnb1k3/p1bp1pr1/1pp3p1/3Pp2p/P1P3RP/1PKNPQq1/1BR5/4NB1n w - - 7 27|289|295
rnbbk3/p2p1pr1/1pp3p1/3Pp2p/P1PR3P/1PK1PQ1B/1B1R1n2/4N3 b - - 2 30|-706|-659
rnbbk1r1/p2p4/1pp3p1/3Ppp1Q/PKPR3P/1P2P2B/1BNR4/7n b - - 3 33|-576|-507
rnbbk1r1/3p4/ppp5/3Ppp1p/PKP1R2P/1P2P3/1BN1R3/5B1n w - - 0 37|-955|-951
rnbb2r1/3pk3/pp6/4pp1p/PKP1p2P/1P2P2B/4R3/B3N2n w - - 0 40|-2154|-2108
rnbqkb1r/ppp1pppp/7n/3N4/8/8/PPPPPPPP/R1BQKBNR w KQkq - 1 3|473|470
rn1q1b1r/ppNkpppp/2p4n/8/6b1/8/PPPPPP1P/1RBQKBNR w K - 2 6|72|65
rn1q1br1/ppNkpppp/2p4n/8/6b1/4PN1P/PPPP1P1R/1RBQKB2 b - - 2 9|-296|-291
rn3br1/ppk1pp1p/2p4n/6p1/2P3b1/3qPN1P/PP1PKP1R/1RBQ1B2 w - - 2 12|-1044|-1043
rn3br1/pp2pp1p/2p4n/k5p1/2P3b1/3qP2P/PP1P1P1R/1RBQKBN1 w - - 6 14|236|268
rn3br1/p3pp1p/1pp4n/k5p1/2P3Q1/4PN1P/Pq1PBP1R/1RB1K3 w - - 0 17|754|765
rn3bn1/p3pprp/1pp5/k5p1/2PN4/3PP2P/P3qPQR/1RB1K3 w - - 0 20|478|519
rn3bn1/p3pr1p/1kQ5/5pp1/2P5/B2PP2P/P3NP1R/4K3 b - - 0 23|-2061|-2066
rn3b2/p1Q1pr2/k6n/5ppp/2P2P2/B2PP2P/P3NK1R/8 w - - 4 27|2259|2272
rn3bn1/p1Q1pr2/k7/5ppp/2P2P2/2BPP2P/P3N2R/4K3 w - - 10 30|2465|2476
rn3bn1/p3p3/k1Q4r/5ppp/2P2P2/2BPP2P/P6R/2N1K3 b - - 15 32|-1434|-1425
r4bn1/p3p3/k4r2/n4ppp/2P2P2/P1BPP2P/5K1R/2N5 w - - 3 35|-1613|-1574
4r1n1/p3p1b1/k4r2/n4p1p/2P2Pp1/P2PP1KP/8/2N1B2R b - - 1 38|2029|1997
5rnb/pk2p3/5r2/n1P2p1p/P4Pp1/3PP1KP/N7/4B2R b - - 2 41|1895|1860
5rn1/p1k1p1b1/5r2/5p1p/Pn3PpK/2NPP2P/8/4B2R w - - 4 45|-2039|-1998
4r1n1/p1k1p1b1/5r2/5p1p/Pn3P1K/3PP2p/5B2/1N2R3 b - - 5 48|2666|2630
3kr1n1/p7/r6b/4pp1K/Pn3P2/3PP2p/5B2/1N2R3 w - - 0 52|-2274|-2241
rnbqkbnr/ppp1pp1p/8/3p2pQ/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 0 3|338|343
r1bqkbnr/pp3p1p/2n1p3/2pp2p1/2P1P1Q1/8/PP1P1PPP/RNB1KBNR w KQkq - 0 6|-354|-360
r1b1kb1r/pp1n1p1p/2nqp3/1BpP2p1/P3P1Q1/1P6/3P1PPP/RNB1K1NR b KQkq - 0 9|65|73
rnb1kr2/pp2bp1p/2nqp3/2pPP1p1/P7/1P4Q1/3P1PPP/RNB1KBNR b KQq - 0 12|131|136
r3kr2/pp2bp1p/B1nqb3/2ppn1p1/P7/1P6/3P1PPP/RNBQK1NR w KQq - 2 16|-978|-975
r3kr2/pB2bp2/2nqb3/P1ppn1Np/8/1P6/3P1PPP/RNBQK2R b KQ - 0 19|695|709
rq2kr2/pB2bp2/2n1b3/P1pp3p/6P1/NP3N2/5P1P/R1BQKn1R w KQ - 4 23|404|410
rq1k1r2/pB2bp2/2n5/P1pp1b1p/6P1/1P6/3N1P1P/RNBQ1K1R w - - 1 26|1116|1115
r2k3r/p2bbp2/2n5/P1pp3p/2B3P1/1PN5/3N1P1q/R1BQK2R b - - 3 29|11|34
r3k3/p2bbp2/2n4r/P1p4p/2B3P1/1P1p4/4QP1q/R1BNKN1R w - - 2 33|466|460
r4k2/p3bB2/2nq3r/P1p2b1p/6P1/BP1pQ3/5P2/R2NKN1R b - - 4 36|371|404
r4k2/p3bB2/2n4r/P1p4p/6b1/BP1Q4/5P2/R2NKN1R w - - 0 39|2102|2012
r4k2/3Qb3/p1n4r/P6B/2p5/BP3b1R/5P2/R2NKN2 b - - 2 42|-1859|-1747
r7/4b1k1/p1n4r/P6b/2p2Q2/BP6/5P1R/R2NKN2 w - - 6 46|1893|1821
r4bk1/6B1/pQn4r/P7/2p5/1P6/4bP1R/R2NKN2 b - - 13 49|-615|-516
q1bnrkr1/ppppp2p/2nb1p2/6p1/P1NP4/6P1/1PP1PP1P/QNB1RRKB b kq - 0 10|-476|-484
qnbnrkr1/pppp3p/3b4/3p1pp1/PPN5/6P1/2PNPP1P/Q1B1RRKB w kq - 2 14|1020|1044
qnbnr1r1/pppp3p/1N2k3/3p1pp1/PP3bP1/5P2/Q1PNP2P/2B1RRKB b - - 2 17|-999|-1020
qnbnr1r1/ppbp3p/1Np1k3/1P1p1pp1/P5P1/1Q3P2/2PNP2P/2B1RRKB b - - 0 19|-790|-806
qnbn2r1/1pb2r1p/pNppk3/1P1p1pp1/P5P1/NQ2BP2/2P1P2P/4RRKB w - - 0 23|1074|1097
1nNn2r1/1pb2r1p/2ppk3/1p1p1pp1/qQ4P1/N3BP1P/2P1P3/4RRKB b - - 1 25|-341|-340
1nNn2r1/qpb2r1p/2ppk3/1p1p2p1/1Q4p1/4BP1P/2P1P3/1N2RRKB w - - 4 29|328|335
1n1n2r1/qpb1r2p/1N1pk3/1ppp2p1/6P1/5P2/2PQPB2/1N2RRKB b - - 0 32|-835|-838
1n1n4/1p2r1rp/1b1pk3/1ppp2p1/2P3P1/5P2/q3PB2/1NRQ1RKB w - - 0 36|332|360
rnbqkbnr/1pppp1pp/5p2/p7/4P3/7P/PPPP1PP1/RNBQKBNR w KQkq - 0 3|359|367
rn1qkbnr/2ppp1pp/b4p2/pp6/3PP3/2P4P/PP2BPP1/RNBQK1NR w KQkq - 1 6|557|568
r2qkbnr/2p1p1pp/b1np1p2/pB1P4/Pp2P3/2P4P/1P1K1PP1/RNBQ2NR b kq a3 0 9|-468|-490
1q2kb1r/r1p1p1pp/b1np1p1n/pB1P3Q/PpP1P3/7P/1P1K1PP1/RNB3NR b k - 2 12|-681|-702
